Jar.number,Nutrient ,Temp,Protist,Spec,Respiration,Blepharisma.sp,Colpidium.sp,Glaucoma.sp,Paramecium.bursaria ,Tillina.magna,Colpoda.steinii ,Strombidium.sp,Halteria.grandinella ,Paramecium.aurelia,Cyclidium.glaucoma ,Tetrahymena.pyriformis ,treatment 
1,Half,22,Yes,0.016,0.000414324,32,3,1,9,1,0,0,0,0,0,0,half.22
2,Half,22,Yes,0.01,0.000436032,12,0,0,2,0,1,0,0,0,0,0,half.22
3,Half,22,Yes,0.012,0.000435227,75,1,0,3,1,0,0,0,0,0,0,half.22
4,Half,22,Yes,0.008,0.000359095,45,0,0,1,0,3,0,0,0,0,0,half.22
5,Half,22,Yes,0.006,1.94E-05,41,0,0,2,0,4,0,0,0,0,0,half.22
6,Half,22,Yes,0.004,0.000280151,15,4,0,1,0,0,0,0,0,0,0,half.22
7,Half,22,Yes,0.006,0.000299761,22,2,0,3,0,2,0,0,0,0,0,half.22
8,Half,22,Yes,0.012,0.000343586,66,6,0,0,0,0,0,0,0,0,0,half.22
9,Half,22,Yes,0.012,0.000564356,43,5,0,6,0,1,0,0,0,0,0,half.22
10,Half,22,Yes,0.011,0.000477205,17,1,0,1,0,0,1,0,0,0,0,half.22
11,Half,22,Yes,0.007,0.000533053,6,3,0,8,0,0,0,0,0,0,0,half.22
12,Half,22,Yes,0.013,0.000380699,5,0,0,3,0,0,0,0,0,0,0,half.22
13,Half,22,Yes,0.012,0.000305047,9,0,0,3,0,0,0,0,0,0,0,half.22
14,Half,22,Yes,0.007,0.000461224,38,1,0,6,0,0,0,0,0,0,0,half.22
15,Half,22,Yes,0.039,0.000278993,39,26,1,3,2,0,0,0,0,0,0,half.22
16,Half,22,Yes,0.027,0.000427193,53,4,0,0,0,1,0,0,0,0,0,half.22
17,Half,22,Yes,0.004,0.000318818,27,3,0,1,0,0,0,1,0,0,0,half.22
18,Half,22,Yes,0.006,0.00043145,31,0,0,2,0,1,0,1,0,0,0,half.22
19,Half,22,Yes,0.011,0.000577965,26,4,0,1,0,0,0,0,0,0,0,half.22
20,Half,22,Yes,0.021,0.000380475,35,1,0,2,0,0,0,0,0,0,0,half.22
21,Half,22,No,0.004,0.000203837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
22,Half,22,No,0.015,0.00029999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
23,Half,22,No,0.007,0.000301589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
24,Half,22,No,0.005,7.46E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
25,Half,22,No,0.002,0.000513372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
26,Half,22,No,0.004,0.000788792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
27,Half,22,No,0,9.69E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
28,Half,22,No,0.001,0.000181952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half.22
