Temp,Nutrient,shannon.bac,Spec,Respiration,shannon.pro,biomass.pro
22,0.5,2.284232449,0.016,0.000414324,0.91615429,287993.96
22,0.5,3.053980933,0.01,0.000436032,0.62770526,109130.97
22,0.5,3.377782714,0.012,0.000435227,0.29318357,461654.38
22,0.5,2.972407264,0.008,0.000359095,0.32864379,245736.19
22,0.5,3.22087444,0.006,1.94E-05,0.46317044,243807.06
22,0.5,1.975820575,0.004,0.000280151,0.68743575,98668.78
22,0.5,2.518787152,0.006,0.000299761,0.81311102,141134.83
22,0.5,2.602832933,0.012,0.000343586,0.28683598,446897.04
22,0.5,3.494237494,0.012,0.000564356,0.72498134,279378.01
22,0.5,2.267747671,0.011,0.000477205,0.58750093,180000.35
22,0.5,2.614146432,0.007,0.000533053,1.02839417,101512.25
22,0.5,2.877136628,0.013,0.000380699,0.66156324,63711.03
22,0.5,3.048600745,0.012,0.000305047,0.56233514,80870.37
22,0.5,3.377541212,0.007,0.000461224,0.4960218,267722.3
22,0.5,2.09369431,0.039,0.000278993,0.99124966,596886.85
22,0.5,2.7222343,0.027,0.000427193,0.33681113,269733.94
22,0.5,2.770722706,0.004,0.000318818,0.58187865,175524.21
22,0.5,3.127486784,0.006,0.00043145,0.47420813,206685.54
22,0.5,3.129239285,0.011,0.000577965,0.52251342,166846.33
22,0.5,2.518598045,0.021,0.000380475,0.32644204,193617.81
22,0.5,2.794580177,0.004,0.000203837,NA,NA
22,0.5,3.191231761,0.015,0.00029999,NA,NA
22,0.5,2.73960433,0.007,0.000301589,NA,NA
22,0.5,2.790853262,0.005,7.46E-05,NA,NA
22,0.5,2.710535833,0.002,0.000513372,NA,NA
22,0.5,2.579578577,0.004,0.000788792,NA,NA
22,0.5,2.592741624,0,9.69E-05,NA,NA
22,0.5,3.259442413,0.001,0.000181952,NA,NA
22,0.5,3.382497236,0.003,0.000127942,NA,NA
22,0.5,3.347869822,0.011,0.00031294,NA,NA
25,0.5,3.353396118,0.03,0.000378342,0.95569989,29911.76
25,0.5,2.449012989,0.002,0.000627038,0.90614909,151463.1
25,0.5,2.520470383,0.012,0.000126163,0.46994172,149266.37
25,0.5,3.287535378,0.006,0.000280797,NA,NA
25,0.5,3.53279455,0.005,0.000461266,1.2601803,372981.16
25,0.5,3.556084717,0.01,0.000440209,0.36194703,378712.26
25,0.5,3.491853973,0.006,0.000315404,0.71718225,245416.96
25,0.5,3.058760541,0.027,0.000353947,0.50630013,197485.4
25,0.5,3.743574272,0.013,0.000150297,0.5151581,431157.93
25,0.5,3.503492853,0.012,0.000401428,0.69342841,410600.95
25,0.5,3.439327968,0.004,0.000577335,0.61089473,157251.31
25,0.5,3.200693831,0.007,0.000305813,0.65619279,171952.29
25,0.5,3.195468233,0.025,0.000559973,0.40387118,597639.98
25,0.5,3.32707431,0.016,0.000760094,0.72099953,439585.23
25,0.5,3.437718054,0.047,0.00039522,0.69283657,226050.53
25,0.5,3.256266831,0.025,0.000439027,0.50265496,228526.38
25,0.5,3.923517679,0.027,0.000354384,0.39236,582544.16
