SampleID	samp	Nutrient 	Temp	Protist	analyze	Nutrient_Temp
S1-Half22-Yes-16S	S1	Half	22C	Protist	keep	Half_22C
S10-Half22-Yes-16S	S10	Half	22C	Protist	keep	Half_22C
S100-Full25-Yes-16S	S100	Full	25C	Protist	out	Full_25C
S100-Full25-Yes-16SB	S100	Full	25C	Protist	keep	Full_25C
S101-Full25-Yes-16S	S101	Full	25C	Protist	out	Full_25C
S101-Full25-Yes-16SB	S101	Full	25C	Protist	keep	Full_25C
S102-Full25-Yes-16S	S102	Full	25C	Protist	out	Full_25C
S102-Full25-Yes-16SB	S102	Full	25C	Protist	keep	Full_25C
S103-Full25-Yes-16S	S103	Full	25C	Protist	out	Full_25C
S103-Full25-Yes-16SB	S103	Full	25C	Protist	keep	Full_25C
S104-Full25-Yes-16S	S104	Full	25C	Protist	out	Full_25C
S104-Full25-Yes-16SB	S104	Full	25C	Protist	keep	Full_25C
S105-Full25-Yes-16S	S105	Full	25C	Protist	out	Full_25C
S105-Full25-Yes-16SB	S105	Full	25C	Protist	keep	Full_25C
S106-Full25-Yes-16S	S106	Full	25C	Protist	out	Full_25C
S106-Full25-Yes-16SB	S106	Full	25C	Protist	keep	Full_25C
S107-Full25-Yes-16S	S107	Full	25C	Protist	out	Full_25C
S107-Full25-Yes-16SB	S107	Full	25C	Protist	keep	Full_25C
S108-Full25-Yes-16S	S108	Full	25C	Protist	out	Full_25C
S108-Full25-Yes-16SB	S108	Full	25C	Protist	keep	Full_25C
S109-Full25-Yes-16S	S109	Full	25C	Protist	out	Full_25C
S109-Full25-Yes-16SB	S109	Full	25C	Protist	keep	Full_25C
S11-Half22-Yes-16S	S11	Half	22C	Protist	keep	Half_22C
S110-Full25-Yes-16S	S110	Full	25C	Protist	out	Full_25C
S110-Full25-Yes-16SB	S110	Full	25C	Protist	keep	Full_25C
S111-Full25-No-16S	S111	Full	25C	No protist	out	Full_25C
S111-Full25-No-16SB	S111	Full	25C	No protist	keep	Full_25C
S112-Full25-No-16S	S112	Full	25C	No protist	out	Full_25C
S112-Full25-No-16SB	S112	Full	25C	No protist	keep	Full_25C
S113-Full25-No-16S	S113	Full	25C	No protist	out	Full_25C
S113-Full25-No-16SB	S113	Full	25C	No protist	keep	Full_25C
S114-Full25-No-16S	S114	Full	25C	No protist	out	Full_25C
S114-Full25-No-16SB	S114	Full	25C	No protist	keep	Full_25C
S115-Full25-No-16S	S115	Full	25C	No protist	out	Full_25C
S115-Full25-No-16SB	S115	Full	25C	No protist	keep	Full_25C
